absolute 完全的 
acceptable 可接受的
accidental 意外的
accuracy 精確
accurate 精確的
achieve 達成
actural 真實的
additional 附加的
adequate 足夠的
advanced 高級的
advantage 優點
apparent 顯然的
appropriate 合理的
artificial 人造的
automatic 自動的
available 可得到的
badly 不好
balance 平衡
bare 赤裸的
being 存在
benefit 益處
brilliant 光輝奪目的
burden 負擔
cease 停止
changeable 易變的
chill 使冷卻
chilly 寒冷的
circular 圓形的
circumstance 情況
coarse 粗糙的
collapse 倒楣
compilate 使複雜化
concrete 具體的
condition 狀況
confine 限制
consequent 因而產生的
consist 由...組成
consistent 一貫的
constant 不斷的
constructive 建設性的
continual 頻頻的
continuous 連續的

contrary 相反的
contrast 對比
crack 使破裂
crush 壓壞
curl 捲曲
current 當前的
damp 潮濕的
decrease 減少
deepen 加深
defeat 失敗
definite 明確的
delicate 纖細的
dense 密集的
dependent 依賴的
destory 破壞
destruction 毀壞
differ 不同
dim  昏暗的
disadvantage 劣勢
disaster 災難
disconnect 中斷連接
discovery 發現
disorder 紊亂
distinct 清晰易辨的
distinguish 分辨
dominant 主要的
dominate 支配
doubtful 懷疑的
drain 排光
drift 飄
drip 滴
drown 淹死
durable 持久的
dusty 布滿灰塵的
elastic 有彈性的
elementary 基本的
emergency 緊急事件
empty 空的
enable 使能夠
endanger 危害

enlarge 增大
enormous 極大的
eventual 結果的
evident 明顯的
existence 存在
expansion 擴張
explode 爆炸
expose 暴露
exposure 暴露
extend 延長
extreme 極端
fade 褪色
fairly 相當地
fake 假的
familler 熟悉的
fantastic 極好的
tasten 繫牢
fatal 致命的
fertile 肥沃的
fierce 強烈的
flexible 有彈性的
float 浮
flunk 不及格
fold 摺疊
freeze 結冰
functional 有功能的
fundamental 基本的
genuine 純正的
gigantic 巨大
glorious 光榮的
glow 發亮
grave 嚴重的
greasy 油膩的
halt 停止
handy 方便的
harden 變硬
hardship 困苦
haste 匆忙
hasten 加速
hasty 匆忙的
hesitate 猶豫

highly 極為
hollow 中空的
humidity 濕氣
icy 冰冷的
ideal 理想的
identical 完全相同的
identification 辨認
idle 閒散的
imaginable 可想像的到的
imaginary 虛構的
incident 事件
inferior 下級的
intense 強烈的
intensify 變強烈
intensive 集中
intermediate 中等的
isolate 孤立
isolation 隔離
keen 激烈的
lag 延遲
largely 大部分
lawful 合法的
lengthen 加長
liberty 自由
lighten 減輕
loose 鬆的
loosen 放鬆
luxury 豪華
magical 魔法的
magnetic 有磁性的
magnificent 壯麗的
major 主要的
manageable 能處理的
manual 體力的
marvelous 很好的
maturity 成熟
maximum 最大值
meaningful 有意義的
melt 融化
memorable 值得回憶的
mere 僅僅的
mess 混亂
messy 髒亂的
mighty 強大的
minimum 最小值

minor 次要的
miserable 悲慘的
misery 悲慘
misfortune 厄運
missing 走失的
mixture 混和
mobile 可移動的
moderate 適度的
moist 潮濕的
mostly 主要的
mysterious 神秘的
needy 貧困的
normal 標準的
numerous 許多的
objective 客觀的
obvious 明顯的
odd 奇怪的
original 最初的
outstanding 傑出的
pale 蒼白的
partial 局部的
pause 停頓
peculiar 奇怪的
permanent 永久的
plentiful 豐富的
plug 插頭
polsonous 有毒的
pollish 擦亮
pollute 汙染
popularity 普及
portable 可攜式
poverty 貧窮
practical 實際的
precious 珍愛的
precise 精確的
preferable 較合適的
preservation 保存
preserve 維持
primary 主要的
